기준_년분기_코드,행정동_코드_x,행정동_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액
20243,11110630,종로5?6가동,HH,정체,140,66,107,52,5744525,2922644,2821882,358986,912550,894928,916709,1095322,1566031,980943,1250363,1038299,1001236,954485,519201,864204,871141,876096,897195,895876,716742,623274,2531450,6,3343318000,284137000,173469000,48175000,1272882000,6723000,31776000,91512000,374995000,12988000,1046661000
20244,11110630,종로5?6가동,HH,정체,140,67,109,52,5409631,2758803,2650829,377626,868709,830865,877661,1017124,1437647,902823,1171063,996108,958039,893054,488544,825938,835152,823056,833456,836358,669877,585795,2531450,6,10558869000,756341000,575756000,209691000,3785398000,20741000,107348000,286897000,1674113000,48623000,3093961000
20241,11110640,이화동,LH,상권확장,98,55,103,52,4274928,1931995,2342932,416466,1023917,833717,676684,627470,696672,705550,818335,684165,770702,863704,432471,595841,621192,659830,633923,626792,584775,552575,3024996,7,2537959000,311091000,64773000,14973000,998402000,9978000,32760000,44228000,63399000,51843000,946512000
20242,11110640,이화동,LH,상권확장,98,55,105,52,4363195,1954063,2409132,492323,1076300,833368,672387,613702,675116,699130,839101,714379,777546,892779,440259,606339,647811,649216,656659,660485,596780,545906,3024996,7,7753339000,1030132000,221354000,42289000,2996402000,22141000,111688000,143753000,194772000,148100000,2842708000
20243,11110640,이화동,LH,상권확장,99,56,107,52,4299805,1924852,2374955,440705,1048813,844612,689829,610064,665785,700575,823165,689599,776577,877900,431990,591387,624014,652094,648898,646435,592836,544144,3024996,7,3697398000,394631000,70134000,13692000,1136397000,7688000,786576000,58422000,92698000,51179000,1085981000
20244,11110640,이화동,LH,상권확장,99,56,109,52,4696993,2095639,2601353,535619,1135119,890061,745589,668213,722392,769238,920745,775388,844084,928119,459419,656419,689126,719473,710987,707305,633032,580651,3024996,7,8252258000,1121519000,193544000,48392000,3021633000,25486000,147286000,145645000,356630000,139488000,3052635000
20241,11110650,혜화동,LH,상권확장,103,53,103,52,8621484,3798129,4823354,1386279,2931697,1042330,1040418,982342,1238420,2003202,1689232,1099541,1136253,1608084,1085172,1194273,1223930,1235232,1238952,1225001,1263110,1240987,3333112,7,3769804000,613002000,54614000,7472000,789933000,10629000,100827000,185076000,241201000,175514000,1591536000
20242,11110650,혜화동,LH,상권확장,104,53,105,52,9687330,4235042,5452287,1724013,3647054,1070011,1033765,987682,1224806,2284951,1932136,1252897,1253870,1756349,1207127,1364555,1400185,1408834,1408916,1386845,1374863,1343132,3333112,7,10697455000,1869304000,213684000,21832000,1852181000,29733000,310298000,508665000,697774000,506306000,4687678000
20243,11110650,혜화동,LH,상권확장,105,53,107,52,8439896,3738843,4701053,1333791,2917242,1032273,996588,949683,1210320,1989060,1679401,1074865,1099401,1546163,1051005,1167263,1180521,1208767,1222736,1218973,1241196,1200438,3333112,7,3672062000,652896000,68967000,7194000,660499000,15329000,111309000,173280000,243417000,169883000,1569288000
20244,11110650,혜화동,LH,상권확장,107,53,109,52,9335695,4056685,5279010,1493689,3544109,1076568,1021317,985188,1214826,2192086,1872799,1206404,1209445,1699159,1155801,1296899,1319577,1356717,1334993,1331646,1358041,1337823,3333112,7,10842746000,1865988000,154026000,19775000,1815258000,36147000,294437000,433983000,660316000,556083000,5006733000
20241,11110670,창신1동,HH,정체,126,69,103,52,2961509,1460978,1500531,166169,408864,445967,497507,577025,865978,672280,613898,432938,427113,484499,330782,431359,431338,444815,437489,427982,393611,394912,2393308,5,885535000,150365000,56693000,1192000,227077000,754000,29247000,35303000,92980000,49143000,242781000
20242,11110670,창신1동,HH,정체,129,69,105,52,2713665,1328283,1385382,146754,378117,406384,468105,525814,788491,623269,566396,394574,380901,438432,310094,400611,405943,399109,401026,396666,355462,354847,2393308,5,2836292000,501426000,209264000,5672000,704151000,2218000,76125000,94578000,339299000,151930000,751629000
20243,11110670,창신1동,HH,정체,130,70,107,52,2569374,1265999,1303375,134132,376867,388961,434171,484588,750654,599697,536493,365019,355115,417558,295490,381980,377613,375455,378890,377747,338603,339085,2393308,5,948334000,172149000,63304000,1657000,252993000,1368000,21490000,34739000,94043000,45304000,261287000
20244,11110670,창신1동,HH,정체,132,71,109,52,2790807,1367527,1423280,143021,416182,417543,471700,528931,813429,645984,575949,405637,397362,450338,315535,411619,408736,410058,409826,404981,372279,373308,2393308,5,2898740000,490175000,183242000,9749000,672343000,1694000,78444000,88492000,360415000,198821000,815365000
20241,11110680,창신2동,HH,정체,127,58,103,52,4816958,2308124,2508834,361252,697777,563782,623425,1074086,1496635,1363317,1019242,537281,532497,749109,615514,682562,686060,674079,687163,681445,699917,705731,2112817,5,378781000,114626000,2615000,3824000,54984000,1872000,1625000,6167000,8797000,7498000,176773000
20242,11110680,창신2동,HH,정체,129,58,105,52,5075214,2421548,2653665,354914,745161,596226,649691,1117303,1611920,1439659,1061965,553771,553975,809714,656131,724901,718780,723996,719858,710231,736222,741227,2112817,5,1189489000,371814000,16171000,12750000,195039000,9017000,3528000,15768000,41253000,19029000,505120000
20243,11110680,창신2동,HH,정체,129,59,107,52,4912642,2369744,2542898,360966,751592,584676,606298,1050145,1558963,1398553,1029421,537121,534233,774320,638993,695234,699172,699662,698597,690477,707089,722412,2112817,5,404315000,131526000,5132000,5068000,55224000,4287000,1510000,4820000,11296000,10142000,175310000
20244,11110680,창신2동,HH,정체,128,59,109,52,4929182,2382645,2546537,347787,758945,594837,590848,1051338,1585427,1395403,1028120,535549,536409,788668,645032,691950,695889,704803,698240,690338,716118,731843,2112817,5,1232056000,392957000,19383000,18432000,181581000,5696000,2717000,15925000,33687000,18549000,543129000
20241,11110690,창신3동,LH,상권확장,103,58,103,52,1246266,591664,654601,168868,161452,187813,187458,218313,322362,370168,272120,128870,123212,185377,166517,177723,177125,171342,173874,173604,181814,190785,3006052,7,139713000,77847000,912000,463000,2230000,0,2513000,3599000,23741000,5865000,22543000
20242,11110690,창신3동,LH,상권확장,103,59,105,52,1161425,539094,622329,156871,153567,175504,173391,197458,304633,350936,250262,118952,113488,170239,157547,164806,162936,163867,162968,160124,168708,178015,3006052,7,439326000,254397000,4382000,10285000,5371000,880000,9210000,13553000,46083000,19017000,76148000
20243,11110690,창신3동,LH,상권확장,106,59,107,52,1190668,555260,635406,160036,157115,173484,181813,199852,318367,354486,257982,123321,117644,176070,161164,168647,167635,167376,166549,164906,172666,182886,3006052,7,144843000,90237000,1980000,407000,625000,0,3057000,4528000,10654000,8860000,24495000
20244,11110690,창신3동,LH,상권확장,108,58,109,52,975151,455036,520115,137620,124477,143793,150998,161176,257086,294816,211901,99956,94053,142302,132125,137182,139355,139668,136672,135226,140188,146861,3006052,7,371770000,227818000,3231000,4474000,3123000,0,9554000,11165000,32936000,11506000,67963000
20241,11110700,숭인1동,HH,정체,113,59,103,52,2032429,971407,1061022,187163,296209,331243,313301,367763,536749,512107,417554,244903,252038,346679,259148,288054,285965,288764,287139,285897,296631,299979,2868519,6,296556000,147333000,671000,4119000,65627000,2082000,10230000,3639000,2008000,9720000,51127000
